State,Democratic Vote,Democratic EV,Republican Vote,Republican EV,Other Vote
Alabama,692611,0,941173,9,32488
Alaska,79004,0,167398,3,39158
Arizona,685341,0,781652,8,65023
Arkansas,422768,0,472940,6,26073
California,5861203,54,4567429,0,537224
Colorado,738227,0,883748,8,119393
Connecticut,816015,8,561094,0,82416
Delaware,180068,3,137288,0,10266
District of Columbia,171923,3,18073,0,11898
Florida,2912253,0,2912790,25,138067
Georgia,1116230,0,1419720,13,60854
Hawaii,205286,4,137845,0,24820
Idaho,138637,0,336937,4,26047
Illinois,2589026,22,2019421,0,133676
Indiana,901980,0,1245836,12,51486
Iowa,638517,7,634373,0,42673
Kansas,399276,0,622332,6,50610
Kentucky,638898,0,872492,8,32797
Louisiana,792344,0,927871,9,45441
Maine,319951,2,286616,0,45250
ME-1,176293,1,148618,0,24040
ME-2,143658,1,137998,0,21210
Maryland,1145782,10,813797,0,65901
Massachusetts,1616487,12,878502,0,207995
Michigan,2170418,18,1953139,0,108944
Minnesota,1168266,10,1109659,0,160760
Mississippi,404614,0,572844,7,16726
Missouri,1111138,0,1189924,11,58830
Montana,137126,0,240178,3,33693
Nebraska,231780,0,433862,2,31377
NE-1,86946,0,142562,1,12515
NE-2,88975,0,131485,1,10552
NE-3,55859,0,159815,1,8310
Nevada,279978,0,301575,4,27417
New Hampshire,266348,0,273559,4,29174
New Jersey,1788850,15,1284173,0,114203
New Mexico,286783,5,286417,0,25405
New York,4107697,33,2403374,0,310928
North Carolina,1257692,0,1631163,14,22407
North Dakota,95284,0,174852,3,18120
Ohio,2186190,0,2351209,21,168058
Oklahoma,474276,0,744337,8,15616
Oregon,720342,7,713577,0,100049
Pennsylvania,2485967,23,2281127,0,146025
Rhode Island,249508,4,130555,0,29049
South Carolina,565561,0,785937,8,31219
South Dakota,118804,0,190700,3,6765
Tennessee,981720,0,1061949,11,32512
Texas,2433746,0,3799639,32,174252
Utah,203053,0,515096,5,52605
Vermont,149022,3,119775,0,25511
Virginia,1217290,0,1437490,13,84667
Washington,1247652,11,1108864,0,130917
West Virginia,295497,0,336475,5,16152
Wisconsin,1242987,11,1237279,0,118341
Wyoming,60481,0,147947,3,9923
