State,Democratic Vote,Democratic EV,Republican Vote,Republican EV,Other Vote
Alabama,795696,0,1255925,9,22717
Alaska,122640,0,164676,3,13179
Arizona,1025232,0,1233654,11,40368
Arkansas,394409,0,647744,6,27315
California,7854285,55,4839958,0,344304
Colorado,1323102,9,1185243,0,61174
Connecticut,905083,7,634892,0,18985
Delaware,242584,3,165484,0,5853
District of Columbia,267070,3,21381,0,5313
Florida,4237756,29,4163447,0,72976
Georgia,1773827,0,2078688,16,47535
Hawaii,306658,4,121015,0,7024
Idaho,212787,0,420911,4,18576
Illinois,3019512,20,2135216,0,87286
Indiana,1152887,0,1420543,11,51104
Iowa,822544,6,730617,0,29019
Kansas,440726,0,692634,6,26611
Kentucky,679370,0,1087190,8,30652
Louisiana,809141,0,1152262,8,32662
Maine,401306,2,292276,0,19598
ME-1,223035,1,142937,0,8447
ME-2,177998,1,149215,0,9013
Maryland,1677844,10,971869,0,57614
Massachusetts,1921290,11,1188314,0,58163
Michigan,2564569,16,2115256,0,51136
Minnesota,1546167,10,1320225,0,70169
Mississippi,562949,0,710746,6,11889
Missouri,1223796,0,1482440,10,51087
Montana,201839,0,267928,3,14281
Nebraska,302081,0,475064,2,17234
NE-1,108082,0,152021,1,4609
NE-2,121889,0,140976,1,3862
NE-3,72110,0,182067,1,5046
Nevada,531373,6,463567,0,19978
New Hampshire,369561,4,329918,0,11493
New Jersey,2125101,14,1477568,0,37623
New Mexico,415335,5,335788,0,32635
New York,4485741,29,2490431,0,104987
North Carolina,2178391,0,2270395,15,56586
North Dakota,124827,0,188163,3,9637
Ohio,2827709,18,2661437,0,91701
Oklahoma,443547,0,891325,7,0
Oregon,970488,7,754175,0,64607
Pennsylvania,2990274,20,2680434,0,82962
Rhode Island,279677,4,157204,0,9168
South Carolina,865941,0,1071645,9,26532
South Dakota,145039,0,210610,3,8166
Tennessee,960709,0,1462330,11,35538
Texas,3308124,0,4569843,38,115884
Utah,251813,0,740600,6,25027
Vermont,199239,3,92698,0,7353
Virginia,1971820,13,1822522,0,60147
Washington,1755396,12,1290670,0,79450
West Virginia,238269,0,417655,5,14514
Wisconsin,1620985,10,1407966,0,39483
Wyoming,69286,0,170962,3,8813
