State,Democratic Vote,Democratic EV,Republican Vote,Republican EV,Other Vote
Alabama,256923,0,728701,9,20469
Alaska,32967,0,55349,3,6903
Arizona,198540,0,402812,6,52153
Arkansas,198899,0,445751,6,3016
California,3475847,0,4602096,45,289919
Colorado,329980,0,597189,7,26715
Connecticut,555498,0,810763,8,18016
Delaware,92283,0,140357,3,2876
District of Columbia,127627,3,35226,0,568
Florida,718117,0,1857759,17,7407
Georgia,289529,0,881496,12,3747
Hawaii,101409,0,168865,4,0
Idaho,80826,0,199384,4,30169
Illinois,1913472,0,2788179,26,21585
Indiana,708568,0,1405154,13,11807
Iowa,496206,0,706207,8,23531
Kansas,270287,0,619812,7,25996
Kentucky,371159,0,676446,9,19894
Louisiana,298142,0,686852,10,66497
Maine,160584,0,256458,2,229
ME-1,85028,0,135388,1,-1
ME-2,75556,0,121120,1,-1
Maryland,505781,0,829305,10,18726
Massachusetts,1332540,14,1112078,0,14138
Michigan,1459435,0,1961721,21,69169
Minnesota,802346,0,898269,10,41037
Mississippi,126782,0,505125,7,14056
Missouri,698531,0,1154058,12,0
Montana,120197,0,183976,4,13430
Nebraska,169991,0,406298,5,0
Nevada,66016,0,115750,3,0
New Hampshire,116435,0,213724,4,3896
New Jersey,1102211,0,1845502,17,49516
New Mexico,141084,0,235606,4,9241
New York,2951084,0,4192778,41,17968
North Carolina,438705,0,1054889,13,25018
North Dakota,100384,0,174109,3,6021
Ohio,1558889,0,2441827,25,94071
Oklahoma,247147,0,759025,8,23728
Oregon,392760,0,486686,6,48500
Pennsylvania,1796951,0,2714521,27,80633
Rhode Island,194645,0,220383,4,780
South Carolina,189270,0,478427,8,10183
South Dakota,139945,0,166476,4,994
Tennessee,357293,0,813147,10,30742
Texas,1154291,0,2298896,26,19527
Utah,126284,0,323643,4,28549
Vermont,68174,0,117149,3,1624
Virginia,438887,0,988493,12,29639
Washington,568334,0,837135,9,65378
West Virginia,277435,0,484964,6,0
Wisconsin,810174,0,989430,11,53286
Wyoming,44358,0,100464,3,748
