State,Democratic Vote,Democratic EV,Republican Vote,Republican EV,Other Vote
Alabama,659170,9,504070,0,19610
Alaska,44058,0,71555,3,7961
Arizona,295602,0,418642,6,28475
Arkansas,499614,6,268753,0,1029
California,3742284,0,3882244,45,242589
Colorado,460353,0,584367,7,36415
Connecticut,647895,0,719261,8,14370
Delaware,122596,3,109831,0,3407
District of Columbia,137818,3,27873,0,3139
Florida,1636000,17,1469531,0,45100
Georgia,979409,12,483743,0,4306
Hawaii,147375,4,140003,0,3923
Idaho,126549,0,204151,4,10232
Illinois,2271295,0,2364269,26,83269
Indiana,1014714,0,1183958,13,21690
Iowa,619931,0,632863,8,26512
Kansas,430421,0,502752,7,24672
Kentucky,615717,9,531852,0,19573
Louisiana,661365,10,587446,0,29628
Maine,232279,0,236320,2,14609
ME-1,123598,0,127019,1,-1
ME-2,108681,0,109301,1,-1
Maryland,759612,10,672661,0,0
Massachusetts,1429475,14,1030276,0,87806
Michigan,1696714,0,1893742,21,63293
Minnesota,1070440,10,819395,0,60096
Mississippi,381309,7,366846,0,21205
Missouri,998387,12,927443,0,27770
Montana,149259,0,173703,4,5772
Nebraska,233692,0,359705,5,14271
Nevada,92479,0,101273,3,8124
New Hampshire,147635,0,185935,4,6048
New Jersey,1444653,0,1509688,17,60131
New Mexico,201148,0,211419,4,4023
New York,3389558,41,3100791,0,34876
North Carolina,927365,13,741960,0,8581
North Dakota,136078,0,153470,3,7546
Ohio,2011621,25,2000505,0,99747
Oklahoma,532442,0,545708,8,14101
Oregon,490407,0,492120,6,47349
Pennsylvania,2328677,27,2205604,0,86506
Rhode Island,227636,4,181249,0,2285
South Carolina,450825,8,346140,0,5629
South Dakota,147068,0,151505,4,2105
Tennessee,825879,10,633969,0,16498
Texas,2082319,26,1953300,0,36265
Utah,182110,0,337908,4,21180
Vermont,81044,0,102085,3,4726
Virginia,813896,0,836554,12,46644
Washington,717323,0,777732,8,60479
West Virginia,435914,6,314760,0,0
Wisconsin,1040232,11,1004987,0,56117
Wyoming,62239,0,92717,3,1387
