State,Democratic Vote,Democratic EV,Republican Vote,Republican EV,Other Vote
Alabama,693933,0,1176394,9,13122
Alaska,111025,0,190889,3,10684
Arizona,893524,0,1104294,10,14767
Arkansas,469953,0,572898,6,12094
California,6745485,55,5509826,0,166042
Colorado,1001732,0,1101255,9,27343
Connecticut,857488,7,693826,0,27455
Delaware,200152,3,171660,0,3378
District of Columbia,202970,3,21256,0,3360
Florida,3583544,0,3964522,27,61744
Georgia,1366149,0,1914254,15,21472
Hawaii,231708,4,194191,0,3114
Idaho,181098,0,409235,4,8114
Illinois,2891550,21,2345946,0,36826
Indiana,969011,0,1479438,11,19553
Iowa,741898,0,751957,7,13053
Kansas,434993,0,736456,6,16307
Kentucky,712733,0,1069439,8,13710
Louisiana,820299,0,1102169,9,20638
Maine,396842,2,330201,0,13709
ME-1,211703,1,165824,0,6865
ME-2,185139,1,164377,0,6840
Maryland,1334493,10,1024703,0,27482
Massachusetts,1803800,12,1071109,0,37479
Michigan,2479183,17,2313746,0,46323
Minnesota,1445014,10,1346695,0,36678
Mississippi,458094,0,684981,6,9070
Missouri,1259171,0,1455713,11,16480
Montana,173710,0,266063,3,10672
Nebraska,254328,0,512814,2,11044
NE-1,96314,0,169888,1,3569
NE-2,97858,0,153041,1,3133
NE-3,60156,0,189885,1,3411
Nevada,397190,0,418690,5,13707
New Hampshire,340511,4,331237,0,5990
New Jersey,1911430,15,1670003,0,30258
New Mexico,370942,0,376930,5,8432
New York,4314280,31,2962567,0,114189
North Carolina,1525849,0,1961166,15,13992
North Dakota,111052,0,196651,3,5130
Ohio,2741167,0,2859768,20,26973
Oklahoma,503966,0,959792,7,0
Oregon,943163,7,866831,0,26788
Pennsylvania,2938095,21,2793847,0,37648
Rhode Island,259765,4,169046,0,8323
South Carolina,661699,0,937974,8,18057
South Dakota,149244,0,232584,3,6387
Tennessee,1036477,0,1384375,11,16467
Texas,2832704,0,4526917,34,51144
Utah,241199,0,663742,5,22903
Vermont,184067,3,121180,0,7062
Virginia,1454742,0,1716959,13,26666
Washington,1510201,11,1304894,0,43989
West Virginia,326541,0,423778,5,5568
Wisconsin,1489504,10,1478120,0,29383
Wyoming,70776,0,167629,3,5023
