State,Democratic Vote,Democratic EV,Republican Vote,Republican EV,Other Vote
Alabama,849624,0,1441170,9,32488
Alaska,153778,0,189951,3,15801
Arizona,1672143,11,1661686,0,53497
Arkansas,423932,0,760647,6,34490
California,11110639,55,6006518,0,384223
Colorado,1804352,9,1364607,0,88021
Connecticut,1080831,7,714717,0,28309
Delaware,296268,3,200603,0,7475
District of Columbia,317323,3,18586,0,8447
Florida,5297045,0,5668731,29,101680
Georgia,2473633,16,2461854,0,64473
Hawaii,366130,4,196864,0,11475
Idaho,287021,0,554119,4,26794
Illinois,3471915,20,2446891,0,114938
Indiana,1242498,0,1729857,11,60855
Iowa,759061,0,897672,6,34138
Kansas,570323,0,771406,6,32257
Kentucky,772474,0,1326646,8,37648
Louisiana,856034,0,1255776,8,36252
Maine,435072,2,360737,0,23652
ME-1,266376,1,164045,0,12691
ME-2,168696,0,196692,1,10961
Maryland,1985023,10,976414,0,75593
Massachusetts,2382202,11,1167202,0,81998
Michigan,2804040,16,2649852,0,85410
Minnesota,1717077,10,1484065,0,76029
Mississippi,539398,0,756764,6,17597
Missouri,1253014,0,1718736,10,54212
Montana,244786,0,343602,3,15286
Nebraska,374583,0,556846,2,24954
NE-1,132261,0,180290,1,9335
NE-2,176468,1,154377,0,8821
NE-3,65854,0,222179,1,6798
Nevada,703486,6,669890,0,32000
New Hampshire,424937,4,365660,0,15608
New Jersey,2608400,14,1883313,0,57744
New Mexico,501614,5,401894,0,20457
New York,5244886,29,3251997,0,119978
North Carolina,2684292,0,2758775,15,81737
North Dakota,115042,0,235751,3,11231
Ohio,2679165,0,3154834,18,88203
Oklahoma,503890,0,1020280,7,36529
Oregon,1340383,7,958448,0,75490
Pennsylvania,3458229,20,3377674,0,101073
Rhode Island,307486,4,199922,0,10349
South Carolina,1091541,0,1385103,9,36685
South Dakota,150471,0,261043,3,11095
Tennessee,1143711,0,1852475,11,57665
Texas,5259126,0,5890347,38,165583
Utah,560282,0,865140,6,62867
Vermont,242820,3,112704,0,11904
Virginia,2413568,13,1962430,0,84526
Washington,2369612,12,1584651,0,133368
West Virginia,235984,0,545382,5,13365
Wisconsin,1630866,10,1610184,0,56991
Wyoming,73491,0,193559,3,9715
