State,Democratic Vote,Democratic EV,Republican Vote,Republican EV,Other Vote
Alabama,549506,0,815576,9,11771
Alaska,72584,0,119251,3,6508
Arizona,454029,0,702541,7,15013
Arkansas,349237,0,466578,6,5458
California,4702233,0,5054917,47,101285
Colorado,621453,0,728177,8,18021
Connecticut,676584,0,750241,8,16562
Delaware,108647,0,139639,3,1605
District of Columbia,159407,3,27590,0,3455
Florida,1656701,0,2618885,21,26451
Georgia,714792,0,1081331,12,13534
Hawaii,192364,4,158625,0,3002
Idaho,147272,0,253881,4,7815
Illinois,2215940,0,2310939,24,25220
Indiana,860643,0,1297763,12,10215
Iowa,670557,8,545355,0,3034
Kansas,422636,0,554049,7,16359
Kentucky,580368,0,734281,9,3374
Louisiana,734281,0,883702,10,6470
Maine,243569,0,307131,2,4105
ME-1,131078,0,169292,1,-1
ME-2,112491,0,137839,1,-1
Maryland,826304,0,876167,10,11863
Massachusetts,1401406,13,1194644,0,33812
Michigan,1675783,0,1965486,20,20849
Minnesota,1109471,10,962337,0,6843
Mississippi,363921,0,557890,7,5484
Missouri,1001619,0,1084953,11,6656
Montana,168936,0,190412,4,6326
Nebraska,259646,0,398447,5,4279
Nevada,132738,0,206040,4,4355
New Hampshire,163696,0,281537,4,5292
New Jersey,1320352,0,1743192,16,13560
New Mexico,244497,0,270341,5,5505
New York,3347882,36,3081871,0,27954
North Carolina,890167,0,1237258,13,6945
North Dakota,127739,0,166559,3,1711
Ohio,1939629,0,2416549,23,24006
Oklahoma,483423,0,678367,8,9246
Oregon,616206,7,560126,0,21298
Pennsylvania,2194944,0,2300087,25,16430
Rhode Island,225123,4,177761,0,1105
South Carolina,370554,0,606443,8,9012
South Dakota,145560,0,165415,3,1790
Tennessee,679794,0,947233,11,3375
Texas,2352748,0,3036829,29,37563
Utah,207343,0,428442,5,7928
Vermont,115775,0,124331,3,1208
Virginia,859799,0,1309162,12,22648
Washington,933516,10,903835,0,20760
West Virginia,341016,5,310065,0,2230
Wisconsin,1126794,11,1047499,0,7110
Wyoming,67113,0,106867,3,2571
